file_path	priority_score	entropy_reduction_potential	complexity_reduction_potential	risk_assessment	mathematical_guidance	cyclomatic_reduction	function_extraction_potential
openhcs/tui/utils/dialog_helpers.py	1.846	1.000	22.632	LOW	KNOT_THEORY: Untangle dependency crossings	2.1	0.9
openhcs/tui/components/grouped_dropdown.py	1.830	1.000	22.402	LOW	KNOT_THEORY: Untangle dependency crossings	2.7	1.1
openhcs/tui/plate_manager_refactored.py	1.770	1.000	22.123	LOW	KNOT_THEORY: Untangle dependency crossings	2.1	1.3
openhcs/tui/components/loading_screen.py	1.695	1.000	22.012	LOW	KNOT_THEORY: Untangle dependency crossings	1.8	1.2
openhcs/tui/layout_components.py	1.649	1.000	21.331	LOW	KNOT_THEORY: Untangle dependency crossings	1.2	0.8
openhcs/tui/components/spinner.py	1.621	1.000	22.413	LOW	KNOT_THEORY: Untangle dependency crossings	1.5	1.4
openhcs/tui/utils.py	1.596	0.959	22.370	LOW	KNOT_THEORY: Untangle dependency crossings	1.5	0.6
openhcs/tui/dialogs/manager.py	1.573	0.952	21.295	LOW	KNOT_THEORY: Untangle dependency crossings	1.8	0.6
openhcs/tui/dialogs/base.py	1.550	0.940	21.609	LOW	KNOT_THEORY: Untangle dependency crossings	1.5	0.6
openhcs/tui/menu_handlers.py	1.490	1.000	22.206	LOW	KNOT_THEORY: Untangle dependency crossings	0.6	1.8
openhcs/tui/components/framed_button.py	1.391	0.754	21.778	LOW	KNOT_THEORY: Untangle dependency crossings	0.9	0.3
openhcs/tui/menu_structure.py	1.390	0.591	22.838	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/commands/__init__.py	1.283	0.608	23.539	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/__init__.py	1.267	0.614	23.774	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/components/__init__.py	1.252	0.607	23.474	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/views/__init__.py	1.251	0.609	23.577	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/utils/__init__.py	1.239	0.587	22.666	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/dialogs/__init__.py	1.219	0.590	22.783	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
openhcs/tui/controllers/__init__.py	1.211	0.583	22.501	LOW	KNOT_THEORY: Untangle dependency crossings	0.3	0.0
